ds,кластер1,кластер2,кластер3,кластер4,кластер5,кластер6
2019-12-23,143253,1442032,8850735,84697,34128,10426828
2019-12-24,96258,1608525,8999225,80314,32360,9425228
2019-12-25,107835,1700887,9232040,77343,30836,7616531
2019-12-26,276672,1619269,9598165,77071,29888,5212675
2019-12-27,193864,1741622,10585459,70506,28177,2676721
2019-12-28,353713,1330227,10910517,58049,23185,1422146
2019-12-29,1089324,1409100,10215020,54909,23011,1284402
2019-12-30,274666,2390876,9921769,64360,24760,1182342
2019-12-31,251240,5486382,11219981,52434,14859,575766
2020-01-01,308348,1833429,12102173,63439,21036,677913
2020-01-02,301720,933955,9395675,68685,30685,1043246
2020-01-03,229076,842182,8463241,82274,30405,1282096
2020-01-04,636800,835393,8147394,106254,31240,1355395
2020-01-05,938715,918662,8155756,125834,30293,1492603
2020-01-06,417434,2525495,8500100,137407,30222,1649839
2020-01-07,161957,2386627,9231402,132576,30882,1855795
2020-01-08,163852,897785,8205119,196027,36733,2934175
2020-01-09,178874,1023275,8043768,141666,48402,4528949
2020-01-10,156430,1029703,8846846,114326,54373,3659037
2020-01-11,323647,1025117,9395067,91718,41325,3117969
2020-01-12,304329,1061409,8920374,93096,41975,5486408
2020-01-13,154868,1848578,8189093,102649,54204,9077641
2020-01-14,147911,1137447,8284861,103441,56494,10254246
2020-01-15,186518,1049725,8289234,140138,56303,10655322
2020-01-16,186001,1038719,8592978,145936,55086,10222664
2020-01-17,148804,1080291,9875056,116465,54362,6110043
2020-01-18,364518,1877999,10548067,90167,41700,4116370
2020-01-19,1359785,1992746,9643813,95900,44472,7813235
2020-01-20,263583,1085827,8529264,117574,58894,11171418
2020-01-21,236150,1291561,8639885,159189,59616,11182427
2020-01-22,240831,1085715,8684284,226352,58459,10892966
2020-01-23,252724,1099339,8827116,279190,54993,10199462
2020-01-24,211486,1310378,9724626,330277,50297,6089722
2020-01-25,317259,3186788,10672187,353487,38587,4026494
2020-01-26,323060,1034299,9660605,425570,41822,7242499
2020-01-27,151145,1168246,8597420,606060,54865,10507163
2020-01-28,125225,1115120,8681498,611965,55254,10640373
2020-01-29,155690,1103984,8806368,617345,53072,10398740
2020-01-30,168216,1119235,9068137,557568,49322,9741796
2020-01-31,113933,1164805,10093148,699005,45481,5946086
2020-02-01,320863,1088739,10947037,529903,35704,3901039
2020-02-02,292512,1076763,9999598,481537,38778,6858691
2020-02-03,138266,1144746,8841897,590742,50738,10077530
2020-02-04,140197,1171938,8925364,516285,52402,10304297
2020-02-05,153487,1181723,8964512,462113,50781,10191446
2020-02-06,194501,1273140,9155943,402574,47359,9536556
2020-02-07,144739,1175503,10205398,374209,43899,6075371
2020-02-08,245864,1043393,10928761,286931,35393,4116826
2020-02-09,641187,1162808,9978879,289530,39088,6959839
2020-02-10,149646,1287340,8778212,359168,49835,10097014
2020-02-11,123269,1272935,8902825,310293,49604,9553205
2020-02-12,108658,1326834,9082197,276135,49048,9648622
