ds,кластер1,кластер2,кластер3,кластер4,кластер5,кластер6
2021-09-23,595056,1114412,9650780,822881,46820,13965834
2021-09-24,512954,1120748,10741239,799595,39968,8449087
2021-09-25,1397417,1003530,11577198,664676,35709,5355860
2021-09-26,1465682,1142237,10596610,680484,37290,9776118
2021-09-27,746506,2055347,9267721,892945,45899,15451349
2021-09-28,709351,1210103,9272322,890667,42887,15724945
2021-09-29,1039039,1424204,9446905,883075,42051,15550848
2021-09-30,899101,2003380,9661572,940085,40696,14495064
2021-10-01,640490,1738877,10892292,927179,38340,8300318
2021-10-02,888172,1061508,11677501,784215,34099,5136026
2021-10-03,1241495,1162916,10677674,828030,35569,8982211
2021-10-04,540952,1579021,9312643,1152571,42080,13502508
2021-10-05,441650,3274717,9367885,1050439,41412,13163730
2021-10-06,467821,1077937,9206740,1095396,41575,14910843
2021-10-07,562540,1084449,9499824,1151201,40416,14709355
2021-10-08,1176861,1060150,10272278,1141023,38673,9290489
2021-10-09,1083315,940058,11354780,952221,32597,5544477
2021-10-10,1040668,1092012,10386914,979568,34217,9245871
2021-10-11,1421129,1101622,9157737,1444740,42415,15334096
2021-10-12,1230444,1092730,9204911,1467330,40723,16349184
2021-10-13,659114,1092415,9419485,1501574,39295,16489752
2021-10-14,506217,1691927,9793263,1514247,40009,15816631
2021-10-15,582161,1092448,10975189,1442361,38875,9980022
2021-10-16,1429740,1083311,12207917,1156434,33482,6305691
2021-10-17,1546521,2088483,10908157,1163208,34285,10416159
2021-10-18,558234,913796,7763021,1196163,26219,12625434
2021-10-19,909499,1051770,9376969,1929995,41818,18015886
2021-10-20,1012350,958488,7678187,1638336,24711,13084956
2021-10-21,843613,1012848,9600847,2421218,34659,16567078
2021-10-22,618254,781256,8804849,1568585,20853,6945998
2021-10-23,1552955,700793,9728444,1108539,21406,3817455
2021-10-24,1756286,761418,8801702,1156014,21436,5808173
2021-10-25,717567,799916,7636818,1658626,24386,9221542
2021-10-26,596647,786189,7721257,1569730,22781,8974465
2021-10-27,738251,1042768,9558136,2229750,35307,10903000
2021-10-28,488443,1028968,8077651,1556651,22172,6094348
2021-10-29,538531,1026681,8862570,1386173,19616,3610449
2021-10-30,1538813,1211563,9454110,1156713,16746,2112055
2021-10-31,769290,1647559,8753845,1098265,17968,2022738
2021-11-01,528409,1104167,9721587,1951260,32870,4981661
2021-11-02,730277,1012854,9889770,1861435,32374,5282498
2021-11-03,916979,1075130,10913458,1925796,32038,5489694
2021-11-04,767902,1918021,11301752,1572823,28984,4251787
2021-11-05,709057,1033683,10977798,1577356,29813,4749082
2021-11-06,1090062,1095977,11068832,1515242,29577,4733896
2021-11-07,1282237,1323921,10424267,1535525,29658,6923752
2021-11-08,500448,1056713,9262346,2044602,34524,13947045
2021-11-09,418704,1152123,9298997,1722435,36005,15832344
2021-11-10,440843,2061663,9524287,1647887,34774,16445612
2021-11-11,1132179,1172989,9691693,1649322,34244,16040212
2021-11-12,928771,1147276,10946199,1614109,32148,10486345
2021-11-13,847930,1088548,12169005,1304184,28477,6709116
2021-11-14,2073885,1098600,10900467,1258908,29587,11441414
2021-11-15,939753,1129827,9492828,1596891,35708,17410257
2021-11-16,800033,1185453,9514008,1518198,35949,17926469
2021-11-17,756235,1241657,9785539,1417700,35212,17899857
2021-11-18,463346,1221247,10474128,1334946,34720,16776213
2021-11-19,669332,1348188,11741333,1224949,32580,10368073
2021-11-20,979442,1147388,12803255,999423,28456,6685281
2021-11-21,945331,1558735,11259817,1014646,29357,10930610
2021-11-22,524699,1816454,9848804,1338831,35176,16511257
2021-11-23,733017,1323583,9935555,1317094,34918,16827223
2021-11-24,1086807,1305484,9740097,1291787,33575,16448715
2021-11-25,838133,1350639,9944920,1212994,33873,15416022
2021-11-26,737003,1386123,11352023,1111168,32670,9437896
2021-11-27,976590,1575721,12403407,913350,26864,6265971
2021-11-28,1241716,3430588,11429876,918227,26897,10137380
2021-11-29,698810,1212215,9704860,1164702,32232,16180375
2021-11-30,506278,1303312,9642406,1107297,31876,16043452
2021-12-01,561895,1604163,10069828,1109044,31685,16308425
2021-12-02,608359,1380350,10211376,1104904,31389,15570059
2021-12-03,646061,1572397,11394652,1034466,30507,10093721
2021-12-04,1230627,1350517,12662060,826871,26751,6579756
2021-12-05,1061084,1282624,11261093,841420,27642,10656518
2021-12-06,584490,1360034,9867580,1046551,32794,16887824
2021-12-07,698010,1539813,9796244,1018372,31992,17344314
2021-12-08,975563,1391116,9846223,972520,31055,17417483
2021-12-09,1031264,1391012,10145546,959094,31811,16607235
2021-12-10,750010,1345015,11347639,860453,29957,10532024
2021-12-11,1039468,1191943,12286008,701811,26666,6912887
2021-12-12,1675482,1311329,11131772,746452,28125,11209104
2021-12-13,860484,1408705,9832812,968066,32846,17548604
2021-12-14,534702,1375232,9601057,907769,31591,17847255
2021-12-15,654717,1410057,9953378,881616,31296,18104321
2021-12-16,749977,1418504,10303675,884988,30582,17391754
2021-12-17,629941,1457020,11432556,817307,29183,11358674
2021-12-18,800737,1286951,12109516,689039,25348,7044977
2021-12-19,906406,1708726,11027823,717248,26046,11487219
2021-12-20,522735,1631418,9825835,881599,30317,18386738
2021-12-21,505701,1596437,9955868,847069,30416,18520862
2021-12-22,541441,2041375,10010275,813553,29691,17457288
2021-12-23,503658,1624419,10395365,784153,28640,15126527
2021-12-24,404486,1747456,11697793,698494,26939,8689751
2021-12-25,465516,1526980,12433773,590179,23925,4490335
2021-12-26,496641,1436675,11844409,630024,25197,5996381
2021-12-27,539376,1832931,10610037,702960,29149,8195920
2021-12-28,520378,1860148,10879660,690176,28528,5836241
2021-12-29,455902,2085160,11162741,667211,26886,3469143
2021-12-30,390162,3071415,11936835,608013,25801,1884637
2021-12-31,277638,7312589,13624619,442789,20933,802724
