ds,1,2,3,4,5,6,7,8
2018-02-17,29552,30597,41040,33391,14182,75,10257,26967
2018-02-18,37425,34835,48305,47822,17722,87,11069,27180
2018-02-19,61304,59531,64108,59782,29887,98,48407,84954
2018-02-20,61685,61057,61103,56508,29811,95,48726,88892
2018-02-21,56362,56265,56685,48311,27621,90,46334,81767
2018-02-22,39014,45201,45810,33008,19314,80,33949,62449
2018-02-23,23012,25730,33505,27129,10609,71,7865,20637
2018-02-24,28504,29987,43081,39607,13691,86,9327,23736
2018-02-25,40064,36897,51538,56941,19562,106,11682,28271
2018-02-26,61965,62139,65598,62582,29979,109,47939,89074
2018-02-27,63666,64198,63967,59050,31182,106,52027,94647
2018-02-28,61162,62064,61331,52806,30201,97,51007,91607
2018-03-01,59362,59652,58242,48794,28457,93,46799,82494
2018-03-02,48766,52566,52911,38401,24417,88,40502,70772
2018-03-03,30706,32846,44941,31342,14992,84,11380,28442
2018-03-04,40488,38329,53371,48229,20243,98,13102,31576
2018-03-05,57721,60257,61613,47828,28719,101,45434,83061
2018-03-06,52989,55181,55677,36364,26245,87,43674,76585
2018-03-07,31470,39785,41828,20474,16472,69,26557,50943
2018-03-08,17284,21435,31173,14877,8156,62,5469,16980
2018-03-09,27146,30158,44507,33094,13121,85,8888,22164
2018-03-10,28758,31500,48538,39448,14892,93,9832,23643
2018-03-11,39376,38525,57069,54928,20548,107,11973,29209
2018-03-12,61889,61200,68062,63505,30871,113,45885,85261
2018-03-13,64768,63066,67250,65482,32907,106,49754,88685
2018-03-14,64807,62393,65521,63072,32995,102,49456,86143
2018-03-15,62411,61154,63153,57151,31875,98,48111,81910
2018-03-16,50127,53079,54715,44374,25653,88,40726,68656
2018-03-17,31297,33414,44619,37962,15797,84,12275,26320
2018-03-18,37986,35458,47385,46525,19863,96,11608,25983
2018-03-19,63719,63168,65532,66924,33227,120,47480,77747
2018-03-20,65667,64556,65414,65957,34497,113,50191,83408
2018-03-21,64177,62863,63784,64836,33312,104,50455,81953
2018-03-22,61831,61087,62748,60781,32460,104,49898,94963
2018-03-23,49427,51986,53507,48704,26691,97,42536,78775
2018-03-24,31122,31054,43403,38973,15695,89,12684,30338
2018-03-25,38847,36202,51601,62286,20961,103,14140,32161
